Title,Note,URL,Tags,Comment
,,,,
Greater Cleveland Habitat for Humanity - Amherst ReStore,,https://www.google.com/maps/place/Greater+Cleveland+Habitat+for+Humanity+-+Amherst+ReStore/data=!4m2!3m1!1s0x883098de4eebd333:0x7b337322b909a45e,,
Google Detroit,,https://www.google.com/maps/place/Google+Detroit/data=!4m2!3m1!1s0x883b2d326fc04bed:0x8608d20b7f2548b7,,
New To You Resale Shop,,https://www.google.com/maps/place/New+To+You+Resale+Shop/data=!4m2!3m1!1s0x883098ff6fc1a3d3:0xeb74b5fcd54313a,,
Oscar's Antiques and Consignments,,https://www.google.com/maps/place/Oscar's+Antiques+and+Consignments/data=!4m2!3m1!1s0x883bdfd5d12b7225:0x95e61471da474f07,,
Value World Thrift,,https://www.google.com/maps/place/Value+World+Thrift/data=!4m2!3m1!1s0x883093b5bc0502a5:0xc0411120503b80a4,,
The Encore Shop,,https://www.google.com/maps/place/The+Encore+Shop/data=!4m2!3m1!1s0x883a45ddbd71e6eb:0xee7f6992d52bd3a7,,
New-To-You Consignments,,https://www.google.com/maps/place/New-To-You+Consignments/data=!4m2!3m1!1s0x883bc64fbf9a0d73:0x1cc03e3bd943db4d,,
Nifty Thrifty Variety Shop,,https://www.google.com/maps/place/Nifty+Thrifty+Variety+Shop/data=!4m2!3m1!1s0x8830fbae60625693:0x50dffb56b5d88420,,
Jameson Homestead Antiques,,https://www.google.com/maps/place/Jameson+Homestead+Antiques/data=!4m2!3m1!1s0x8830907a9902095b:0x5036bd32fb6bfccd,,
M & T Antiques,,https://www.google.com/maps/place/M+%26+T+Antiques/data=!4m2!3m1!1s0x883bc650de3dc989:0xd465b4d631dd273f,,
That Store LLC,,https://www.google.com/maps/place/That+Store+LLC/data=!4m2!3m1!1s0x883c7fe1f75ffd43:0xd5e2072fb2169143,,
Broadway Boutique,,https://www.google.com/maps/place/Broadway+Boutique/data=!4m2!3m1!1s0x88309db0b271b0d5:0xdc75ddef6af28e8,,
My Cuzin Vintage Cleveland,,https://www.google.com/maps/place/My+Cuzin+Vintage+Cleveland/data=!4m2!3m1!1s0x8830f108e8144a2b:0xbb53566fbfc0780b,,
Old School Warehouse,,https://www.google.com/maps/place/Old+School+Warehouse/data=!4m2!3m1!1s0x883a3afe41e6afd9:0xa0bfefcdaa75d8be,,
Antiques In Clyde,,https://www.google.com/maps/place/Antiques+In+Clyde/data=!4m2!3m1!1s0x883bcd42699d428d:0xbce075b8ef75bdc7,,
Elevation Bargain Sales LLC,,https://www.google.com/maps/place/Elevation+Bargain+Sales+LLC/data=!4m2!3m1!1s0x883bc7d405eaced5:0xc30ee923187ac107,,
Value World Thrift,,https://www.google.com/maps/place/Value+World+Thrift/data=!4m2!3m1!1s0x8830f1f30d45661b:0x5f1ac82a490889b0,,
When Pigs Fly,,https://www.google.com/maps/place/When+Pigs+Fly/data=!4m2!3m1!1s0x883a3cf1a073e7c3:0xe913e2619bd72aa0,,
Arcade Junction,,https://www.google.com/maps/place/Arcade+Junction/data=!4m2!3m1!1s0x89d24c4bf019fecd:0x155c701eca024cc7,,
Paradise Galleria,,https://www.google.com/maps/place/Paradise+Galleria/data=!4m2!3m1!1s0x8830f1911bdb6109:0xa23d4bd2de21c092,,
Main Street Antiques,,https://www.google.com/maps/place/Main+Street+Antiques/data=!4m2!3m1!1s0x883a0a75cde4f695:0xd1cab5e81d535dbe,,
Ratsy's Store,,https://www.google.com/maps/place/Ratsy's+Store/data=!4m2!3m1!1s0x883a0a7830f7ebcf:0x98c750eb4d6dae8c,,
PEARLS Girls' Community Closet at Malachi Center,,https://www.google.com/maps/place/PEARLS+Girls'+Community+Closet+at+Malachi+Center/data=!4m2!3m1!1s0x8830e5ad07357bcf:0xd374f4bcd26cbeb9,,
Big Ship Salvage,,https://www.google.com/maps/place/Big+Ship+Salvage/data=!4m2!3m1!1s0x883a3f55aa352311:0xf3375fdefa7d5ea6,,
Columbia Thrift Store and boutique,,https://www.google.com/maps/place/Columbia+Thrift+Store+and+boutique/data=!4m2!3m1!1s0x88309500581b0ded:0xbd9233fa4b403935,,
VNTG Home,,https://www.google.com/maps/place/VNTG+Home/data=!4m2!3m1!1s0x8830fa4195cb7fd7:0xccef24a50026ecee,,
Finders Keepers Thrift Shop,,https://www.google.com/maps/place/Finders+Keepers+Thrift+Shop/data=!4m2!3m1!1s0x88324843cacf8013:0xadbe2cadf92b6e54,,
Past and present emporium,,https://www.google.com/maps/place/Past+and+present+emporium/data=!4m2!3m1!1s0x883bc794714ab8dd:0x6e520a7ce429518a,,
Roxy's Emporium,,https://www.google.com/maps/place/Roxy's+Emporium/data=!4m2!3m1!1s0x883098dd4297ad1b:0x3d1f26bfd5187d7,,
Future No Future Vintage Clothing,,https://www.google.com/maps/place/Future+No+Future+Vintage+Clothing/data=!4m2!3m1!1s0x8830f272930905dd:0x2319e34d1db78a7f,,
Armory vintage Market,,https://www.google.com/maps/place/Armory+vintage+Market/data=!4m2!3m1!1s0x883bc769a2f75a01:0xd0e49a24074c83c,,
Margie’s Closet,,https://www.google.com/maps/place/Margie%E2%80%99s+Closet/data=!4m2!3m1!1s0x8830f1c2c8f45d2d:0x342486aa2e7ab4d0,,
Cleveland Curiosities,,https://www.google.com/maps/place/Cleveland+Curiosities/data=!4m2!3m1!1s0x8830f3b2bb638645:0x974e9f33e4b5a187,,
Consign It! Home Interiors,,https://www.google.com/maps/place/Consign+It!+Home+Interiors/data=!4m2!3m1!1s0x883c7c70baff1719:0x1b7f6619d6b19085,,
Hollywood Casino at Greektown,,https://www.google.com/maps/place/Hollywood+Casino+at+Greektown/data=!4m2!3m1!1s0x883b2d2bfa8d6e29:0x8599f12988e72701,,
Rusticisle,,https://www.google.com/maps/place/Rusticisle/data=!4m2!3m1!1s0x883097f7e10c2bbb:0x62bdba7f48c8bced,,
