ID,StoreName,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Source
GJE,Grandma Jaree's Emporium,"25 McMaster St, Auburn, NY 13021",,,,,,,,
PLTS,Pot Luck Thrift Shop,"7843 Oxbow Rd, Canastota, NY 13032",,,,,,,,
AU2,Antique Underground,"124 E Jefferson St, Syracuse, NY 13202",,,,,,,,
JPAAC,Julies Place Antiques and Collectibles,"3300 E Main St, Endwell, NY 13760",,,,,,,,
TFJM,The Funky Junk Market,"62 North Ave Suite 1B, Owego, NY 13827",,,,,,,,
OOAU,"Old, Odd, and Unique","93, 91 Clinton St, Binghamton, NY 13905",,,,,,,,
AJ,Arcade Junction,"320 Main St, Arcade, NY 14009",,,,,,,,
JADA,Junk and Disorderly Arts & Antiques,"265 Main St, Arcade, NY 14009",,,,,,,,
GSDC,Goodwill Store & Donation Center,"4152 W Main Street Rd, Batavia, NY 14020",,,,,,,,
AWFM,Antique World & Flea Market,"11111 Main St, Clarence, NY 14031",,,,,,,,
RRAC,Rcs & Randys Antiques Co-Op,"212 Lake Shore Dr E, Dunkirk, NY 14048",,,,,,,,
WV,Wallflower Vintage,"712 Main St, East Aurora, NY 14052",,,,,,,,
BBW,Bear Bottom Wholesale,"20 Ann St, Lockport, NY 14094",,,,,,,,
SCBAC,Shawnee Country Barns Antique Co-Op,"6608 Shawnee Rd, North Tonawanda, NY 14120",,,,,,,,
SOGS,Sanborn Old General Store,"5856 Buffalo St, Sanborn, NY 14132",,,,,,,,
SHTTA,"Solomon's Hidden Treasures Thrift, Antiques & Outlet","14218 US-219 GPS, 14218 S Cascade Dr, Springville, NY 14141",,,,,,,,
ATBR,Attic To Basement Repeats,"83 Broad St, Tonawanda, NY 14150",,,,,,,,
HFHRN,Habitat for Humanity ReStore North,"1030 Niagara Fls Blvd, Tonawanda Town, NY 14150",,,,,,,,
SAVERST,Savers,"2309 Eggert Rd, Tonawanda Town, NY 14150",,,,,,,,
MCVB,My Cuzin Vintage Buffalo,"168 Elmwood Ave, Buffalo, NY 14201",,,,,,,,
TSSOB,The Serendipity Shoppe of Buffalo,"1 Symphony Cir, Buffalo, NY 14201",,,,,,,,
BRV,Backroomvintage,"497 Franklin St, Buffalo, NY 14202",,,,,,,,
SA,Sloan's Antiques,"730 William St, Buffalo, NY 14206",,,,,,,,
AB,AMVETS Buffalo,"1833 Elmwood Ave, Buffalo, NY 14207",,,,,,,,
HTSHFB,Hearts Thrift Store - Hearts for the Homeless Thrift Store (Buffalo),"890 Tonawanda St, Buffalo, NY 14207",,,,,,,,
SDDS,St.Vincent DePaul Discount Store,"1298 Main St, Buffalo, NY 14209",,,,,,,,
SLADD,Southtowns LADD Thrift Shop,"2280 Seneca St, Buffalo, NY 14210",,,,,,,,
BR,Buffalo ReUse,"980 Northampton St, Buffalo, NY 14211",,,,,,,,
COO,COOCOOU,"1261 Niagara St, Buffalo, NY 14213",,,,,,,,
MSTS,Main Street thrift store,"2637 Main St, Buffalo, NY 14214",,,,,,,,
OHVC,October House Vintage & Consignment,"1361 Hertel Ave, Buffalo, NY 14216",,,,,,,,
AKRTS,A King's Ransom - Thrift Shop and Furniture Consignment,"3748 South Park Ave, Buffalo, NY 14219",,,,,,,,
SAVERSB,Savers,"3701 McKinley Pkwy, Buffalo, NY 14219",,,,,,,,
HFHRS,Habitat for Humanity ReStore - South,"1675 South Park Ave, Buffalo, NY 14220",,,,,,,,
SBSA,Side By Side Antiques,"26 Abbott Rd, Buffalo, NY 14220",,,,,,,,
CGAE,CM Gold Antique & Estate Buyer,"5823 Main St, Williamsville, NY 14221",,,,,,,,
FTVA,Funky Town Vintage Antiques,"1165 Wehrle Dr, Buffalo, NY 14221",,,,,,,,
HA,Hello Again,"8619 Main St, Williamsville, NY 14221",,,,,,,,
QCV,Queen City Vintage,"746 Elmwood Ave, Buffalo, NY 14222",,,,,,,,
STR,Save The Rags,"795 Elmwood Ave, Buffalo, NY 14222",,,,,,,,
