StoreID,StoreName,Address,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Source
GJE,Grandma Jaree's Emporium,"25 McMaster St, Auburn, NY 13021",10:00  - 5:00 ,10:00  - 5:00 ,Closed,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,https://maps.google.com/?cid=1372859750362792943
PLTS,Pot Luck Thrift Shop,"7843 Oxbow Rd, Canastota, NY 13032",10:00  - 4:00 ,10:00  - 4:00 ,10:00  - 4:00 ,10:00  - 4:00 ,10:00  - 4:00 ,10:00  - 4:00 ,10:00  - 4:00 ,https://maps.google.com/?cid=9447500594570336143
AU2,Antique Underground,"124 E Jefferson St, Syracuse, NY 13202",Closed,Closed,Closed,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,https://maps.google.com/?cid=10620287510446760306
JPAAC,Julies Place Antiques and Collectibles,"3300 E Main St, Endwell, NY 13760",Closed,9:00  - 2:00 ,9:00  - 2:00 ,9:00  - 2:00 ,9:00  - 2:00 ,9:00  - 2:00 ,Closed,https://maps.google.com/?cid=9997957342873426563
TFJM,The Funky Junk Market,"62 North Ave Suite 1B, Owego, NY 13827",10:00  - 3:00 ,Closed,Closed,Closed,10:00  - 5:00 ,10:00  - 5:00 ,12:00 - 4:00 ,https://maps.google.com/?cid=17640996792092644961
OOAU,"Old, Odd, and Unique","93, 91 Clinton St, Binghamton, NY 13905",Closed,Closed,Closed,12:00 - 5:00 ,12:00 - 5:00 ,12:00 - 5:00 ,Closed,https://maps.google.com/?cid=392336406324111158
AJ,Arcade Junction,"320 Main St, Arcade, NY 14009",Closed,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 3:00 ,https://maps.google.com/?cid=1539228450194345159
JADA,Junk and Disorderly Arts & Antiques,"265 Main St, Arcade, NY 14009",Closed,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,https://maps.google.com/?cid=3457390370023177795
GSDC,Goodwill Store & Donation Center,"4152 W Main Street Rd, Batavia, NY 14020",10:00  - 8:00 ,10:00  - 8:00 ,10:00  - 8:00 ,10:00  - 8:00 ,10:00  - 8:00 ,10:00  - 8:00 ,10:00  - 5:00 ,https://maps.google.com/?cid=13447914952397092363
AWFM,Antique World & Flea Market,"11111 Main St, Clarence, NY 14031",11:00  - 5:00 ,11:00  - 5:00 ,Closed,11:00  - 5:00 ,11:00  - 5:00 ,11:00  - 5:00 ,9:00  - 4:00 ,https://maps.google.com/?cid=5013757944636355811
RRAC,Rcs & Randys Antiques Co-Op,"212 Lake Shore Dr E, Dunkirk, NY 14048",Closed,10:00  - 6:00 ,10:00  - 6:00 ,10:00  - 6:00 ,10:00  - 6:00 ,10:00  - 6:00 ,12:00 - 6:00 ,https://maps.google.com/?cid=15597535051337548246
WV,Wallflower Vintage,"712 Main St, East Aurora, NY 14052",11:00  - 6:00 ,11:00  - 6:00 ,11:00  - 6:00 ,11:00  - 6:00 ,11:00  - 6:00 ,11:00  - 6:00 ,11:00  - 6:00 ,https://maps.google.com/?cid=9703852785570132526
BBW,Bear Bottom Wholesale,"20 Ann St, Lockport, NY 14094",10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 4:00 ,10:00  - 4:00 ,10:00  - 4:00 ,https://maps.google.com/?cid=6156454450948444062
SCBAC,Shawnee Country Barns Antique Co-Op,"6608 Shawnee Rd, North Tonawanda, NY 14120",10:00  - 5:00 ,10:00  - 5:00 ,Closed,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,https://maps.google.com/?cid=1127722878702884520
SOGS,Sanborn Old General Store,"5856 Buffalo St, Sanborn, NY 14132",Closed,Closed,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,11:00  - 5:00 ,https://maps.google.com/?cid=9533723141814655885
SHTTA,"Solomon's Hidden Treasures Thrift, Antiques & Outlet","14218 US-219 GPS, 14218 S Cascade Dr, Springville, NY 14141",Closed,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 5:00 ,10:00  - 4:00 ,Closed,https://maps.google.com/?cid=12063319825493477582
ATBR,Attic To Basement Repeats,"83 Broad St, Tonawanda, NY 14150",Closed,Closed,11:00  - 6:00 ,11:00  - 6:00 ,11:00  - 6:00 ,11:00  - 5:00 ,Closed,https://maps.google.com/?cid=9765475230899462255
HFHRN,Habitat for Humanity ReStore North,"1030 Niagara Fls Blvd, Tonawanda Town, NY 14150",Closed,10:00  - 7:00 ,10:00  - 7:00 ,10:00  - 7:00 ,10:00  - 7:00 ,10:00  - 7:00 ,Closed,https://maps.google.com/?cid=2155814126970690672
SAVERST,Savers,"2309 Eggert Rd, Tonawanda Town, NY 14150",10:00  - 9:00 ,10:00  - 9:00 ,10:00  - 9:00 ,10:00  - 9:00 ,10:00  - 9:00 ,10:00  - 9:00 ,10:00  - 7:00 ,https://maps.google.com/?cid=11638054890986202879
MCVB,My Cuzin Vintage Buffalo,"168 Elmwood Ave, Buffalo, NY 14201",12:00 - 8:00 ,12:00 - 8:00 ,12:00 - 8:00 ,12:00 - 8:00 ,12:00 - 8:00 ,11:00  - 8:00 ,11:00  - 5:00 ,https://maps.google.com/?cid=8212449894416939239
TSSOB,The Serendipity Shoppe of Buffalo,"1 Symphony Cir, Buffalo, NY 14201",Closed,Closed,12:00 - 5:00 ,12:00 - 5:00 ,12:00 - 5:00 ,12:00 - 5:00 ,Closed,https://maps.google.com/?cid=11614928396448355049
BRV,Backroomvintage,"497 Franklin St, Buffalo, NY 14202",Closed,Closed,2:00 - 9:00 ,2:00 - 9:00 ,2:00 - 9:00 ,1:30 - 9:00 ,1:30 - 5:00 ,https://maps.google.com/?cid=13380490497691040894
