StoreId,ValuePrior,YieldPrior,CompositePrior,ValuePosterior,YieldPosterior,Omega,Value,Yield,Composite
FV,4.05,2.017032967032967,,,,0.0,4.05,2.017032967032967,
MCAG,4.1499999999999995,1.9914835164835165,,,,0.0,4.1499999999999995,1.9914835164835165,
RWBT,3.3112179487179483,3.1774725274725273,,,,0.0,3.3112179487179483,3.1774725274725273,
TSAFS6,3.2935897435897434,3.073076923076923,,,,0.0,3.2935897435897434,3.073076923076923,
TWL,4.1298076923076925,2.0,,,,0.0,4.1298076923076925,2.0,
VMDV,4.163461538461538,2.319230769230769,,,,0.0,4.163461538461538,2.319230769230769,
VWT-ClinTown,3.2935897435897434,3.073076923076923,,,,0.0,3.2935897435897434,3.073076923076923,
VWT-Eastpointe,3.2278846153846152,3.1513736263736263,,,,0.0,3.2278846153846152,3.1513736263736263,
VWT-OakPark,3.316025641025641,3.0195054945054944,,,,0.0,3.316025641025641,3.0195054945054944,
VWT-Southfield,3.2310897435897434,2.9,,,,0.0,3.2310897435897434,2.9,
VWT-Southgate,3.2935897435897434,3.1142857142857143,,,,0.0,3.2935897435897434,3.1142857142857143,
VWT-Taylor,3.2487179487179487,3.1087912087912084,,,,0.0,3.2487179487179487,3.1087912087912084,
VWT-Warren,3.37051282051282,3.2777472527472526,,,,0.0,3.37051282051282,3.2777472527472526,
VogueVint,3.503525641025641,3.090934065934066,,,,0.0,3.503525641025641,3.090934065934066,
