zip,name,median_income,pct_hh_100k_plus,pct_renters,population,acs_year,dataset,fetched_at_utc,status,error_message,renters_count,occupied_count,hh_count_100k_plus,hh_count_total
06390,ZCTA5 06390,51964,17.647,82.353,53,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,14,17,3,17
10001,ZCTA5 10001,123393,65.503,76.353,29079,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11527,15097,9889,15097
10002,ZCTA5 10002,46525,37.967,81.382,75517,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,29111,35771,13581,35771
10003,ZCTA5 10003,153750,70.044,65.307,53825,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,16379,25080,17567,25080
10004,ZCTA5 10004,220592,92.169,64.507,3875,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,1145,1775,1636,1775
10005,ZCTA5 10005,211810,86.094,82.933,9238,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,4276,5156,4439,5156
10006,ZCTA5 10006,209972,77.137,82.560,4475,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,1903,2305,1778,2305
10007,ZCTA5 10007,250001,88.667,64.974,7802,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2150,3309,2934,3309
10009,ZCTA5 10009,87963,55.337,91.051,58341,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,27338,30025,16615,30025
10010,ZCTA5 10010,156127,74.240,72.499,31905,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11739,16192,12021,16192
10011,ZCTA5 10011,146571,71.051,63.999,49344,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,18097,28277,20091,28277
10012,ZCTA5 10012,130938,69.561,78.487,21846,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,9347,11909,8284,11909
10013,ZCTA5 10013,159474,71.671,70.473,28215,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,8886,12609,9037,12609
10014,ZCTA5 10014,167254,76.377,71.429,29772,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,12630,17682,13505,17682
10016,ZCTA5 10016,153065,73.260,72.335,54297,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,21819,30164,22098,30164
10017,ZCTA5 10017,132518,65.694,69.420,14985,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,6615,9529,6260,9529
10018,ZCTA5 10018,133042,70.067,88.166,8764,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,4321,4901,3434,4901
10019,ZCTA5 10019,121835,64.673,78.390,44276,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,21087,26900,17397,26900
10020,ZCTA5 10020,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10021,ZCTA5 10021,156712,73.818,54.894,39479,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11154,20319,14999,20319
10022,ZCTA5 10022,171038,77.039,51.592,34340,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,9610,18627,14350,18627
10023,ZCTA5 10023,157866,70.291,60.478,67468,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,22305,36881,25924,36881
10024,ZCTA5 10024,182614,77.407,61.293,62576,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,18049,29447,22794,29447
10025,ZCTA5 10025,109195,63.860,69.329,93223,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,28445,41029,26201,41029
10026,ZCTA5 10026,74140,49.482,76.997,37113,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11963,15537,7688,15537
10027,ZCTA5 10027,64220,45.473,84.308,65068,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,20663,24509,11145,24509
10028,ZCTA5 10028,168125,77.001,62.062,45679,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,15454,24901,19174,24901
10029,ZCTA5 10029,38308,28.443,93.039,74848,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,30794,33098,9414,33098
10030,ZCTA5 10030,42738,32.785,86.692,30781,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11426,13180,4321,13180
10031,ZCTA5 10031,65067,45.041,86.322,60305,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,18983,21991,9905,21991
10032,ZCTA5 10032,56588,38.953,91.666,55579,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,19579,21359,8320,21359
10033,ZCTA5 10033,75585,50.590,84.631,53611,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,16712,19747,9990,19747
10034,ZCTA5 10034,69786,46.689,89.995,39037,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,13915,15462,7219,15462
10035,ZCTA5 10035,40556,31.463,90.143,39082,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,13572,15056,4737,15056
