Zip,Name,MedianIncome,PctHH_100kPlus,PctRenters,Population,AcsYear,Dataset,FetchedAtUtc,Status,ErrorMessage,RentersCount,OccupiedCount,HHCount_100kPlus,HHCountTotal
15001,ZCTA5 15001,71301,47.730,23.333,32013,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,3335,14293,6822,14293
15003,ZCTA5 15003,57943,36.322,37.644,11394,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1965,5220,1896,5220
15004,ZCTA5 15004,58257,32.215,5.369,297,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,8,149,48,149
15005,ZCTA5 15005,77356,50.594,13.085,9574,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,540,4127,2088,4127
15006,ZCTA5 15006,,100.000,84.211,116,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,16,19,19,19
15007,ZCTA5 15007,,28.704,36.111,476,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,39,108,31,108
15009,ZCTA5 15009,83629,55.082,23.935,15610,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1613,6739,3712,6739
15010,ZCTA5 15010,70253,46.854,27.196,28621,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,3121,11476,5377,11476
15012,ZCTA5 15012,61903,42.660,25.428,15294,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1753,6894,2941,6894
15014,ZCTA5 15014,52734,33.291,29.770,3109,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,465,1562,520,1562
15015,ZCTA5 15015,160556,84.449,0.394,1302,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,2,508,429,508
15017,ZCTA5 15017,83611,56.930,27.379,17602,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,2169,7922,4510,7922
15018,ZCTA5 15018,36750,26.163,8.140,899,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,28,344,90,344
15019,ZCTA5 15019,38092,31.643,12.937,1236,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,74,572,181,572
15020,ZCTA5 15020,73723,17.647,0.000,497,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,221,39,221
15021,ZCTA5 15021,72849,48.693,19.717,6775,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,558,2830,1378,2830
15022,ZCTA5 15022,61337,38.961,28.498,10044,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1163,4081,1590,4081
15024,ZCTA5 15024,85625,55.185,19.008,9192,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,713,3751,2070,3751
15025,ZCTA5 15025,82917,53.111,24.743,16659,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1658,6701,3559,6701
15026,ZCTA5 15026,99897,67.588,21.474,4355,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,373,1737,1174,1737
15027,ZCTA5 15027,62708,43.530,33.364,2136,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,361,1082,471,1082
15028,ZCTA5 15028,66250,46.591,4.545,202,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,4,88,41,88
15030,ZCTA5 15030,56250,36.326,39.875,1044,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,191,479,174,479
15031,ZCTA5 15031,,47.059,42.353,372,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,72,170,80,170
15033,ZCTA5 15033,43232,25.000,43.032,4592,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,1019,2368,592,2368
15034,ZCTA5 15034,47016,30.332,46.682,1600,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,394,844,256,844
15035,ZCTA5 15035,64103,40.816,31.633,2063,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,310,980,400,980
15037,ZCTA5 15037,76844,52.122,14.804,10412,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,628,4242,2211,4242
15038,ZCTA5 15038,32278,18.584,68.142,268,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,77,113,21,113
15042,ZCTA5 15042,76576,50.843,15.282,7859,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,526,3442,1750,3442
15043,ZCTA5 15043,86563,62.166,15.374,2106,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,115,748,465,748
15044,ZCTA5 15044,132743,71.676,6.505,27844,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,703,10807,7746,10807
15045,ZCTA5 15045,45354,27.287,36.062,4400,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,674,1869,510,1869
15046,ZCTA5 15046,79514,55.458,10.916,2310,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,112,1026,569,1026
15047,ZCTA5 15047,42708,0.000,0.000,108,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,89,0,89
15049,ZCTA5 15049,58417,33.192,17.336,919,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,82,473,157,473
15050,ZCTA5 15050,92969,63.545,7.135,2311,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,64,897,570,897
15051,ZCTA5 15051,65179,47.085,26.457,446,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,59,223,105,223
15052,ZCTA5 15052,67763,44.061,15.169,2905,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,189,1246,549,1246
15053,ZCTA5 15053,104196,100.000,0.000,114,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,41,41,41
