Zip,Name,MedianIncome,PctHH_100kPlus,PctRenters,Population,AcsYear,Dataset,FetchedAtUtc,Status,ErrorMessage,RentersCount,OccupiedCount,HHCount_100kPlus,HHCountTotal
16335,ZCTA5 16335,58531,37.232,39.770,27112,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,4420,11114,4138,11114
16407,ZCTA5 16407,48962,29.481,25.117,10555,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,1180,4698,1385,4698
16415,ZCTA5 16415,105604,66.774,8.011,10251,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,298,3720,2484,3720
16417,ZCTA5 16417,80410,54.498,23.117,8400,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,884,3824,2084,3824
16424,ZCTA5 16424,56285,34.609,17.693,4328,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,342,1933,669,1933
16428,ZCTA5 16428,77103,52.141,23.425,12508,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,1160,4952,2582,4952
16502,ZCTA5 16502,34649,19.849,65.859,15815,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,4539,6892,1368,6892
16503,ZCTA5 16503,29108,17.441,62.633,15204,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,3530,5636,983,5636
16504,ZCTA5 16504,51988,33.984,29.012,15632,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,1873,6456,2194,6456
16505,ZCTA5 16505,71370,48.144,25.047,15631,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,1862,7434,3579,7434
16508,ZCTA5 16508,52361,33.314,34.266,15156,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,2377,6937,2311,6937
16509,ZCTA5 16509,68880,43.113,28.924,28133,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,3547,12263,5287,12263
16510,ZCTA5 16510,64938,44.888,20.589,25152,2023,acs/acs5,2025-12-27T20:34:14.592915Z,ok,,2070,10054,4513,10054
