store,store_name,store_address,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,google_url,hours_json
GJE,Grandma Jaree's Emporium,"25 McMaster St, Auburn, NY 13021",10:00  - 17:00 ,10:00  - 17:00 ,Closed,10:00  - 17:00 ,10:00  - 17:00 ,10:00  - 17:00 ,10:00  - 17:00 ,https://maps.google.com/?cid=1372859750362792943,"{""openHours"":{""mon"":[[""10:00"",""17:00""]],""tue"":[[""10:00"",""17:00""]],""wed"":[],""thu"":[[""10:00"",""17:00""]],""fri"":[[""10:00"",""17:00""]],""sat"":[[""10:00"",""17:00""]],""sun"":[[""10:00"",""17:00""]]}}"
PLTS,Pot Luck Thrift Shop,"7843 Oxbow Rd, Canastota, NY 13032",10:00  - 16:00 ,10:00  - 16:00 ,10:00  - 16:00 ,10:00  - 16:00 ,10:00  - 16:00 ,10:00  - 16:00 ,10:00  - 16:00 ,https://maps.google.com/?cid=9447500594570336143,"{""openHours"":{""mon"":[[""10:00"",""16:00""]],""tue"":[[""10:00"",""16:00""]],""wed"":[[""10:00"",""16:00""]],""thu"":[[""10:00"",""16:00""]],""fri"":[[""10:00"",""16:00""]],""sat"":[[""10:00"",""16:00""]],""sun"":[[""10:00"",""16:00""]]}}"
AU2,Antique Underground,"124 E Jefferson St, Syracuse, NY 13202",Closed,Closed,Closed,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,https://maps.google.com/?cid=10620287510446760306,"{""openHours"":{""mon"":[],""tue"":[],""wed"":[],""thu"":[[""11:00"",""17:00""]],""fri"":[[""11:00"",""17:00""]],""sat"":[[""11:00"",""17:00""]],""sun"":[[""11:00"",""17:00""]]}}"
JPAAC,Julies Place Antiques and Collectibles,"3300 E Main St, Endwell, NY 13760",Closed,9:00  - 14:00 ,9:00  - 14:00 ,9:00  - 14:00 ,9:00  - 14:00 ,9:00  - 14:00 ,Closed,https://maps.google.com/?cid=9997957342873426563,"{""openHours"":{""mon"":[],""tue"":[[""9:00"",""14:00""]],""wed"":[[""9:00"",""14:00""]],""thu"":[[""9:00"",""14:00""]],""fri"":[[""9:00"",""14:00""]],""sat"":[[""9:00"",""14:00""]],""sun"":[]}}"
TFJM,The Funky Junk Market,"62 North Ave Suite 1B, Owego, NY 13827",10:00  - 15:00 ,Closed,Closed,Closed,10:00  - 17:00 ,10:00  - 17:00 ,12:00 - 16:00 ,https://maps.google.com/?cid=17640996792092644961,"{""openHours"":{""mon"":[[""10:00"",""15:00""]],""tue"":[],""wed"":[],""thu"":[],""fri"":[[""10:00"",""17:00""]],""sat"":[[""10:00"",""17:00""]],""sun"":[[""12:00"",""16:00""]]}}"
OOAU,"Old, Odd, and Unique","93, 91 Clinton St, Binghamton, NY 13905",Closed,Closed,Closed,12:00 - 17:00 ,12:00 - 17:00 ,12:00 - 17:00 ,Closed,https://maps.google.com/?cid=392336406324111158,"{""openHours"":{""mon"":[],""tue"":[],""wed"":[],""thu"":[[""12:00"",""17:00""]],""fri"":[[""12:00"",""17:00""]],""sat"":[[""12:00"",""17:00""]],""sun"":[]}}"
AJ,Arcade Junction,"320 Main St, Arcade, NY 14009",Closed,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 15:00 ,https://maps.google.com/?cid=1539228450194345159,"{""openHours"":{""mon"":[],""tue"":[[""11:00"",""17:00""]],""wed"":[[""11:00"",""17:00""]],""thu"":[[""11:00"",""17:00""]],""fri"":[[""11:00"",""17:00""]],""sat"":[[""11:00"",""17:00""]],""sun"":[[""11:00"",""15:00""]]}}"
JADA,Junk and Disorderly Arts & Antiques,"265 Main St, Arcade, NY 14009",Closed,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,https://maps.google.com/?cid=3457390370023177795,"{""openHours"":{""mon"":[],""tue"":[[""11:00"",""17:00""]],""wed"":[[""11:00"",""17:00""]],""thu"":[[""11:00"",""17:00""]],""fri"":[[""11:00"",""17:00""]],""sat"":[[""11:00"",""17:00""]],""sun"":[[""11:00"",""17:00""]]}}"
GSDC,Goodwill Store & Donation Center,"4152 W Main Street Rd, Batavia, NY 14020",10:00  - 20:00 ,10:00  - 20:00 ,10:00  - 20:00 ,10:00  - 20:00 ,10:00  - 20:00 ,10:00  - 20:00 ,10:00  - 17:00 ,https://maps.google.com/?cid=13447914952397092363,"{""openHours"":{""mon"":[[""10:00"",""20:00""]],""tue"":[[""10:00"",""20:00""]],""wed"":[[""10:00"",""20:00""]],""thu"":[[""10:00"",""20:00""]],""fri"":[[""10:00"",""20:00""]],""sat"":[[""10:00"",""20:00""]],""sun"":[[""10:00"",""17:00""]]}}"
AWFM,Antique World & Flea Market,"11111 Main St, Clarence, NY 14031",11:00  - 17:00 ,11:00  - 17:00 ,Closed,11:00  - 17:00 ,11:00  - 17:00 ,11:00  - 17:00 ,9:00  - 16:00 ,https://maps.google.com/?cid=5013757944636355811,"{""openHours"":{""mon"":[[""11:00"",""17:00""]],""tue"":[[""11:00"",""17:00""]],""wed"":[],""thu"":[[""11:00"",""17:00""]],""fri"":[[""11:00"",""17:00""]],""sat"":[[""11:00"",""17:00""]],""sun"":[[""9:00"",""16:00""]]}}"
RRAC,Rcs & Randys Antiques Co-Op,"212 Lake Shore Dr E, Dunkirk, NY 14048",Closed,10:00  - 18:00 ,10:00  - 18:00 ,10:00  - 18:00 ,10:00  - 18:00 ,10:00  - 18:00 ,12:00 - 18:00 ,https://maps.google.com/?cid=15597535051337548246,"{""openHours"":{""mon"":[],""tue"":[[""10:00"",""18:00""]],""wed"":[[""10:00"",""18:00""]],""thu"":[[""10:00"",""18:00""]],""fri"":[[""10:00"",""18:00""]],""sat"":[[""10:00"",""18:00""]],""sun"":[[""12:00"",""18:00""]]}}"
WV,Wallflower Vintage,"712 Main St, East Aurora, NY 14052",11:00  - 18:00 ,11:00  - 18:00 ,11:00  - 18:00 ,11:00  - 18:00 ,11:00  - 18:00 ,11:00  - 18:00 ,11:00  - 18:00 ,https://maps.google.com/?cid=9703852785570132526,"{""openHours"":{""mon"":[[""11:00"",""18:00""]],""tue"":[[""11:00"",""18:00""]],""wed"":[[""11:00"",""18:00""]],""thu"":[[""11:00"",""18:00""]],""fri"":[[""11:00"",""18:00""]],""sat"":[[""11:00"",""18:00""]],""sun"":[[""11:00"",""18:00""]]}}"
BBW,Bear Bottom Wholesale,"20 Ann St, Lockport, NY 14094",10:00  - 17:00 ,10:00  - 17:00 ,10:00  - 17:00 ,10:00  - 17:00 ,10:00  - 16:00 ,10:00  - 16:00 ,10:00  - 16:00 ,https://maps.google.com/?cid=6156454450948444062,"{""openHours"":{""mon"":[[""10:00"",""17:00""]],""tue"":[[""10:00"",""17:00""]],""wed"":[[""10:00"",""17:00""]],""thu"":[[""10:00"",""17:00""]],""fri"":[[""10:00"",""16:00""]],""sat"":[[""10:00"",""16:00""]],""sun"":[[""10:00"",""16:00""]]}}"
