store_id,g_rating,g_revcount,j_prior,j_post,g_lowk,g_highk
AJ,4.8,67,4.0,,4.655,4.611
RRAC,4.6,124,4.0,,4.560,4.544
SHTTA,3.9,33,3.3,,4.237,4.302
SLTS,4.3,6,2.0,,4.443,4.450
RT,4.5,51,3.5,,4.480,4.475
TA,4.7,26,2.5,,4.542,4.517
WSAM,4.5,138,4.0,,4.489,4.485
MSA2,4.6,26,3.0,,4.508,4.493
FNJ,5.0,26,3.8,,4.645,4.588
FKTS,4.7,35,4.0,,4.559,4.531
IAM,3.2,36,3.8,,3.933,4.081
TTAT,4.7,37,4.0,,4.562,4.534
FKOE,4.6,142,3.6,,4.564,4.548
CSTAT,4.2,253,3.8,,4.243,4.265
GSTS,4.6,87,3.8,,4.549,4.532
CMT,3.9,30,3.9,,4.250,4.312
OA,4.8,151,3.5,,4.715,4.679
TSP,4.3,115,1.0,,4.349,4.367
PIMAA,4.8,45,2.8,,4.621,4.579
SS2,3.7,18,1.8,,4.259,4.325
MTS,4.6,100,3.8,,4.553,4.536
RCTS,4.1,66,3.4,,4.255,4.301
V,4.8,59,4.1,,4.644,4.601
AIC,4.8,8,3.6,,4.507,4.490
AVM,4.9,36,4.1,5.00,4.644,4.593
BUKB,4.1,24,1.0,,4.343,4.380
MTA,3.4,13,3.9,,4.241,4.317
NTYC,4.6,8,3.7,,4.479,4.472
PAPE,4.6,46,3.9,,4.527,4.510
CWUTS,4.5,77,3.3,,4.484,4.479
MAM,4.6,"1,626",3.8,,4.596,4.593
AAI,4.4,99,4.1,,4.420,4.428
HOD,4.6,149,3.9,,4.565,4.550
TVAT,4.8,162,4.3,3.50,4.720,4.684
TSL,5.0,1,1.0,,4.471,4.467
GFIM,4.4,114,3.0,,4.418,4.425
NLRS,4.3,48,3.7,,4.382,4.402
TCKA,4.8,98,4.6,3.50,4.685,4.644
CIHI,4.6,328,1.5,,4.582,4.572
GCHFH,3.5,69,3.5,,3.903,4.026
ORBA,3.8,21,1.0,,4.265,4.328
AAM,3.4,72,3.8,,3.835,3.969
CFAN,5.0,3,4.0,,4.491,4.479
FSW,4.7,213,4.1,4.20,4.654,4.632
TCS,4.1,63,3.9,,4.259,4.305
JHA,4.4,65,3.0,,4.426,4.434
CTSAB,5.0,16,3.2,,4.591,4.547
CTS,4.7,21,3.7,,4.531,4.508
BB,4.0,1,0.5,,4.451,4.455
NTYRS,4.6,56,3.9,,4.534,4.516
RE,4.6,28,0.5,,4.510,4.495
TBH,4.9,346,4.0,,4.844,4.815
BA,4.3,25,3.8,,4.407,4.423
CCC,4.4,38,1.0,,4.434,4.441
GT,5.0,6,2.0,,4.518,4.496
TGD,4.4,23,3.9,,4.441,4.447
TRVM,5.0,20,3.6,,4.614,4.565
BBAAC,4.5,54,2.8,,4.481,4.476
SAF,4.8,70,1.0,,4.658,4.615
VWT-Olmstead,4.2,387,4.5,,4.230,4.246
MSA,4.6,114,3.8,,4.557,4.541
RS,4.9,42,4.1,,4.661,4.607
SBTL,4.5,525,4.0,5.00,4.497,4.495
PBB,4.4,86,2.6,,4.422,4.430
TATL,4.9,10,3.0,,4.534,4.507
MCVC,4.0,71,0.0,,4.190,4.249
SL,3.7,208,4.9,5.00,3.847,3.918
NTVS,5.0,15,1.0,,4.585,4.542
CC,4.7,464,1.2,,4.677,4.663
FNFVC,4.7,33,0.0,,4.556,4.528
MF,5.0,17,1.0,,4.597,4.552
MC,4.6,45,2.0,,4.526,4.509
VWT-Lakewood,4.2,813,4.5,3.50,4.215,4.224
ATFY,4.6,56,3.0,,4.534,4.516
PG,4.6,94,4.1,,4.551,4.534
PGCCA,5.0,20,2.0,,4.614,4.565
SS,5.0,7,2.0,,4.527,4.502
VNTG,4.1,106,2.0,,4.215,4.259
TSYRS,4.7,135,3.6,,4.635,4.608
RUST,4.8,16,0.1,,4.543,4.515
STA,4.8,139,3.4,,4.710,4.672
ASVC,4.7,13,1.5,,4.510,4.493
AVAT,4.7,72,2.5,,4.602,4.571
BSS,4.7,44,5.0,5.00,4.572,4.543
OSW,4.9,18,2.8,,4.577,4.538
WPF,4.8,98,0.5,,4.685,4.644
SGBL,4.7,25,2.1,,4.540,4.515
TES,4.6,39,3.5,,4.521,4.505
OAAC,4.6,15,2.0,,4.492,4.482
RI1,5.0,11,3.0,,4.558,4.523
VWT-Eastpointe,3.9,477,4.5,4.20,3.953,3.983
VWT-Southfield,4.0,471,4.5,,4.044,4.069
RWBT,3.8,699,4.0,5.00,3.844,3.870
CATTF,4.9,104,3.2,,4.757,4.704
MA,4.8,67,3.8,,4.655,4.611
VGR,4.7,16,2.8,,4.518,4.499
LAFV,4.7,114,3.8,,4.627,4.599
EHUR,4.1,131,2.0,,4.200,4.240
