ID,AutoIds,Type,Name,Address,google-name,GScore,GRevCount,JScore,Tier,Must-Visit,Day,Note,Lat,Lon,LiveCensusLat,LiveCensusLon,store-pk,google-url
AJ,AJ1,Antique,Arcade Junction,"320 Main St, Arcade, NY 14009",Arcade Junction,4.8,66,4.0,Top,,,Good potential,42.533843395362,-78.424489530318,-Have Lat-,-Have Lon-,1,https://maps.app.goo.gl/nc2DyPcyuhBFagVz5
RRAC,RRAC1,Antique,Rcs & Randys Antiques Co-Op,"212 Lake Shore Dr E, Dunkirk, NY 14048",Rcs & Randys Antiques Co-Op,4.6,124,4.0,Top,,,Good potential,42.489967125549,-79.323415719901,-Have Lat-,-Have Lon-,2,https://maps.app.goo.gl/uLdqt27Vvi8Kx3Ry6
SHTTA,SHTTA1,Thrift,"Solomon's Hidden Treasures Thrift, Antiques & Outlet","14218 US-219 GPS, 14218 S Cascade Dr, Springville, NY 14141","Solomon's Hidden Treasures Thrift, Antiques & Outlet",3.9,33,3.3,Mid,,,"Smaller, seems limited",42.491847780846,-78.693071558398,-Have Lat-,-Have Lon-,3,https://maps.app.goo.gl/MvSumuUf69PQB4Zr8
SLTS,SLTS1,Thrift,St Luke's Thrift Shop,"409 Pine St, Jamestown, NY 14701",St Luke's Thrift Shop,4.3,6,2.0,Low,,,"Limited hours, just a house",42.097518894618,-79.240479514338,-Have Lat-,-Have Lon-,4,https://maps.app.goo.gl/ypLcBjaUJ5eRf37k7
RT,RT1,Junk,Ron's Treasures,"88 N Main St, Cassadaga, NY 14718",Ron's Treasures,4.5,51,3.5,Mid,,,Could be a sleeper hit,42.348123754568,-79.310381497269,-Have Lat-,-Have Lon-,5,https://maps.app.goo.gl/6FY7UoSZ35zCnKrj8
TA,TA1,Antique,Trolley Antiques,"440 Baldwin St, Meadville, PA 16335",Trolley Antiques,4.7,26,2.5,Low,,,"Small, out of the way. In a trolley",41.652890082142,-80.153108623774,-Have Lat-,-Have Lon-,6,https://maps.app.goo.gl/vz2LYjSVJ5yhM1GYA
WSAM,WSAM1,Antique,Whistle Stop Antique Mall,"50 N Center St, Corry, PA 16407",Whistle Stop Antique Mall,4.5,138,4.0,Top,,,Looks large and varied,41.921358450600,-79.640673952454,-Have Lat-,-Have Lon-,7,https://maps.app.goo.gl/8sxHXWwHeAcobZgR6
MSA2,MSA1,Antique,Main Street Antiques,"7447 W Ridge Rd, Fairview, PA 16415",Main Street Antiques,4.6,26,3.0,Mid,,,"Images unclear, just someone's house?",42.032803817302,-80.253949499435,-Have Lat-,-Have Lon-,8,https://maps.app.goo.gl/zuL9w9SphpNbtmLX6
FNJ,FNJ1,Thrift,Funk N Junk,"65 Main St W, Girard, PA 16417",Funk N Junk,5.0,26,3.8,Top,,,Curious; has potential,42.000356470277,-80.317733995196,-Have Lat-,-Have Lon-,9,https://maps.app.goo.gl/5tEZPt3kR4LHWCad8
FKTS,FKTS1,Thrift,Finders Keepers Thrift Shop,"325 W Erie St, Linesville, PA 16424",Finders Keepers Thrift Shop,4.7,35,4.0,Top,,,"Something going on here, hard to say. Closed Mondays",41.656369074660,-80.426292954401,-Have Lat-,-Have Lon-,10,https://maps.app.goo.gl/JpQRRPGrPfKy18pc8
IAM,IAM1,Antique,Interstate Antique Mall,"5446 PA-89, North East, PA 16428",Interstate Antique Mall,3.2,36,3.8,Top,,,"Looks neat, but expensive",42.191680758531,-79.837438007144,-Have Lat-,-Have Lon-,11,https://maps.app.goo.gl/nPH6EWaqaqGqqsfi9
TTAT,TTAT1,Thrift,Treva's Trinkets and Treasures,"77 S Pearl St, North East, PA 16428",Treva's Trinkets and Treasures,4.7,37,4.0,Top,,NODAY,"Yep, eclectic, well curated - closed for this trip",42.211117333873,-79.837341450818,-Have Lat-,-Have Lon-,12,https://maps.app.goo.gl/DTdxHK3KFnzKsXBC9
FKOE,FKOE1,Thrift,Finders Keepers Of Erie,"1250 Brown Ave, Erie, PA 16502",Finders Keepers Of Erie,4.6,142,3.6,Mid,,,High-Mid Thrift store,42.102881635880,-80.100783236134,-Have Lat-,-Have Lon-,13,https://maps.app.goo.gl/PiTcuMNetn86PUZA6
CSTAT,CSTAT1,Thrift,Cobb's Second Time Around Thrift Shop,"1215 Parade St, Erie, PA 16503",Cobb's Second Time Around Thrift Shop,4.2,253,3.8,Top,,,Looks big; worthwhile,42.126531887305,-80.072549728280,-Have Lat-,-Have Lon-,14,https://maps.app.goo.gl/Y1UUA9vNPT1ZUoC2A
GSTS,GSTS1,Thrift,Green Scene Thrift Store,"1301 E Grandview Blvd, Erie, PA 16504",Green Scene Thrift Store,4.6,87,3.8,Top,,,Looks worthwhile,42.106368486532,-80.033370746773,-Have Lat-,-Have Lon-,15,https://maps.app.goo.gl/SsNTMYQneY4uRBy4A
