,,,,,,,,,,,,,,,,,,,,Correlation,Population, MedianIncome ,Pct100kPlus,PctRenter,TotalRentersPopulation,PctBAPlus,Stores
,,,,,,,,,,,,,,,,,,,,All Types,-0.163,0.361,0.347,-0.446,-0.176,-0.053,27
,,,,,,,,,,,,,,,,,,,,Thrift,-0.254,0.488,0.475,-0.529,-0.262,0.150,14
,,,,,,,,,,,,,,,,,,,,Antique,0.116,0.041,0.131,-0.103,0.143,0.062,8
,,,,,,,,,,,,,,,,,,,,Vintage,-0.004,0.477,-0.305,-0.998,0.065,-0.983,3
,,,,,,,,,,,,,,,,,,,,Nautical,-,-,-,-,-,-,1
,,,,,,,,,,,,,,,,,,,,Junk,-,-,-,-,-,-,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_timestamp,run_id,day_id,store_id,store_name,visited,day-of-mqa,must_visit,arrive,depart,lat,lon,address,dwell_min,drive_min,distance_mi,score,tags,Store Type,ZipCode,Geographic Area Name,Population, MedianIncome ,Pct100kPlus,PctRenter,TotalRentersPopulation,PctBAPlus,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TS,The ShareHouse,TRUE,5.0,TRUE,10:09,10:39,42.28746621,-83.83071804,"5161 Jackson Rd, Ann Arbor, MI 48103",30,69.34421136,40.45078996,5.0,must-visit;Thrift,Thrift,48103,ZCTA5 48103,"54,635"," $ 115,513.00 ",56.3%,33.8%,"24,202",65.2%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,RWBT,Red White & Blue Thrift Store,TRUE,5.0,FALSE,9:31,10:01,42.57294545,-82.89015147,"37545 Southbound Gratiot Ave, Clinton Township, MI 48036",30,30.94556453,18.05157931,4.0,Thrift,Thrift,48036,ZCTA5 48036,"22,160"," $ 65,109.00 ",28.2%,29.2%,9471,20.5%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,TWL,Time Warp LLC,TRUE,5.0,FALSE,10:07,10:37,42.52604981,-82.89606592,"31336 Harper Ave, St Clair Shores, MI 48082",30,5.578571691,3.25416682,4.0,Antique,Antique,48082,ZCTA5 48082,"16,164"," $ 76,372.00 ",36.8%,13.0%,7240,25.1%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,AVM,Armory vintage Market,TRUE,5.0,TRUE,12:37,13:07,41.34348745,-83.09905933,"1005 E State St, Fremont, OH 43420",30,56.51571804,32.96750219,4.1,must-visit;Vintage,Vintage,43420,ZCTA5 43420,"29,400"," $ 62,802.00 ",27.0%,29.2%,12488,17.9%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,BSS,Big Ship Salvage,TRUE,5.0,TRUE,13:49,14:19,41.32781409,-82.6206639,"11001 US Hwy 250 N unit d-1, Milan, OH 44846",30,42.58716626,24.84251365,5.0,must-visit;Nautical,Nautical,44846,ZCTA5 44846,"3,361"," $ 97,109.00 ",46.4%,16.2%,1236,31.7%,
2025-09-21T05:45:59.884Z,CL-v1,Wed,SL,Sweet Lorain,TRUE,5.0,TRUE,16:41,17:11,41.47332131,-81.73391536,"7105 Lorain Ave, Cleveland, OH 44102",30,3.591030586,2.094767842,4.9,must-visit;Antique,Antique,44102,ZCTA5 44102,"40,178"," $ 40,303.00 ",16.7%,64.9%,19189,23.2%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,SBTL,Shops By The Lake,TRUE,5.0,TRUE,12:10,12:40,41.74899488,-81.20878091,"1871 N Ridge Rd, Painesville, OH 44077",30,21.21643184,15.91232388,4.0,must-visit;Vintage,Vintage,44077,ZCTA5 44077,"57,947"," $ 80,692.00 ",39.9%,26.7%,23543,28.1%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,SAVERSB,Savers,TRUE,5.0,TRUE,16:50,17:20,42.7853963,-78.8107985,"3701 McKinley Pkwy, Buffalo, NY 14219",30,44.13252897,33.09939673,4.8,must-visit;Thrift,Thrift,14219,ZCTA5 14219,"10,894"," $ 75,465.00 ",35.1%,25.4%,5298,21.0%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,SCR,SCRAP Creative Reuse,TRUE,4.2,FALSE,12:25,12:55,42.25267524,-83.67351038,"4567 Washtenaw Ave, Ann Arbor, MI 48108",30,1.52608107,0.8902139577,3.8,Thrift,Thrift,48108,ZCTA5 48108,"27,472"," $ 80,425.00 ",40.9%,44.7%,"12,105",60.0%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TSAFSCT,The Salvation Army Family Store & Donation Center,TRUE,4.2,FALSE,13:49,14:19,42.35143979,-83.46917003,"43403 Joy Rd, Canton Township, MI 48187",30,15.99710136,9.33164246,3.7,Thrift,Thrift,48187,ZCTA5 48187,"52,710"," $ 117,980.00 ",58.0%,27.3%,19413,50.1%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,TPCAA,Town Peddler Craft and Antique Mall,TRUE,4.2,TRUE,15:14,15:44,42.36786559,-83.39102513,"35323 Plymouth Rd, Livonia, MI 48150",30,13.87121142,8.091539994,4.0,must-visit;Antique,Antique,48150,ZCTA5 48150,"26,749"," $ 94,058.00 ",45.2%,11.4%,10516,34.4%,
2025-09-21T05:45:54.467Z,DT-v2,Tue,VWT-Eastpointe,Value World Thrift,TRUE,4.2,FALSE,10:43,11:13,42.47898517,-82.92695946,"24900 Kelly Rd, Eastpointe, MI 48021",30,6.193131961,3.612660311,4.5,Thrift,Thrift,48021,ZCTA5 48021,"34,003"," $ 58,196.00 ",23.0%,31.1%,13400,14.2%,
2025-09-21T05:46:04.705Z,BU-v2,Thu,FSW,Fat Sally's Warehouse,TRUE,4.2,FALSE,13:11,13:41,41.89385581,-80.80406811,"1569 Laird Dr, Ashtabula, OH 44004",30,30.82399945,23.11799959,4.1,Antique,Antique,44004,ZCTA5 44004,"31,076"," $ 49,507.00 ",17.7%,32.7%,13138,14.5%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,SAVERST,Savers,TRUE,4.2,TRUE,11:59,12:29,42.9811124,-78.82575108,"2309 Eggert Rd, Tonawanda Town, NY 14150",30,5.976390166,4.482292625,5.0,must-visit;Thrift,Thrift,14150,ZCTA5 14150,"41,585"," $ 70,294.00 ",32.0%,29.1%,19397,31.7%,
2025-09-21T05:46:09.005Z,RX-v1,Fri,AWFM,Antique World & Flea Market,TRUE,4.2,FALSE,12:46,13:16,42.98383125,-78.57230016,"11111 Main St, Clarence, NY 14031",30,17.08328448,12.81246336,4.8,Antique,Antique,14031,ZCTA5 14031,"9,741"," $ 99,639.00 ",49.8%,20.0%,4129,46.7%,
2025-09-21T05:43:54.854Z,AA-v1,Mon,RAGS,Ragstock,TRUE,3.5,FALSE,10:47,11:17,42.27953576,-83.74531662,"337 E Liberty St, Ann Arbor, MI 48104",30,7.542452051,4.399763696,4.0,Vintage,Vintage,48104,ZCTA5 48104,"43,762"," $ 63,341.00 ",37.0%,63.9%,"17,396",71.1%,
