Geography,Geographic Area Name,Population, MedianIncome ,Pct100kPlus,TotalSalaryPopulation,100k+,125Kk+,150k+,200k+, MedianHomeValue ,PctRenter,TotalRentersPopulation,OwnerOccupied,RenterOccupied,PctBAPlus
860Z200US06390,ZCTA5 06390,53," $ 51,964.00 ",17.6%,17,0,0,0,3,,82.4%,17,3,1400.00%,39.5%
860Z200US10001,ZCTA5 10001,"29,079"," $ 123,393.00 ",57.2%,"15,097","1,135",592,"1,702","5,214"," $ 793,000.00 ",76.4%,15097,3570,1152700.00%,65.9%
860Z200US10002,ZCTA5 10002,"75,517"," $ 46,525.00 ",29.3%,"35,771","2,638","1,610","2,020","4,228"," $ 808,500.00 ",81.4%,35771,6660,2911100.00%,37.0%
860Z200US10003,ZCTA5 10003,"53,825"," $ 153,750.00 ",62.9%,"25,080","1,532","1,506","2,925","9,805"," $ 1,137,000.00 ",65.3%,25080,8701,1637900.00%,71.9%
860Z200US10004,ZCTA5 10004,"3,875"," $ 220,592.00 ",82.3%,"1,775",98,153,237,972," $ 1,866,400.00 ",64.5%,1775,630,114500.00%,75.8%
860Z200US10005,ZCTA5 10005,"9,238"," $ 211,810.00 ",78.2%,"5,156",201,452,716,"2,665"," $ 1,387,200.00 ",82.9%,5156,880,427600.00%,71.2%
860Z200US10006,ZCTA5 10006,"4,475"," $ 209,972.00 ",71.7%,"2,305",83,154,205,"1,211"," $ 1,125,700.00 ",82.6%,2305,402,190300.00%,69.1%
860Z200US10007,ZCTA5 10007,"7,802",,85.5%,"3,309",64,81,473,"2,212",,65.0%,3309,1159,215000.00%,77.3%
860Z200US10009,ZCTA5 10009,"58,341"," $ 87,963.00 ",45.8%,"30,025","2,266","2,099","3,320","6,063"," $ 690,600.00 ",91.1%,30025,2687,2733800.00%,60.4%
860Z200US10010,ZCTA5 10010,"31,905"," $ 156,127.00 ",68.0%,"16,192","1,674",725,"1,797","6,816"," $ 1,037,900.00 ",72.5%,16192,4453,1173900.00%,68.9%
860Z200US10011,ZCTA5 10011,"49,344"," $ 146,571.00 ",64.5%,"28,277","2,172","2,181","3,325","10,570"," $ 1,165,800.00 ",64.0%,28277,10180,1809700.00%,70.2%
860Z200US10012,ZCTA5 10012,"21,846"," $ 130,938.00 ",61.7%,"11,909","1,302",940,"1,121","3,984"," $ 1,500,000.00 ",78.5%,11909,2562,934700.00%,75.9%
860Z200US10013,ZCTA5 10013,"28,215"," $ 159,474.00 ",64.2%,"12,609",976,587,"1,287","5,246",,70.5%,12609,3723,888600.00%,62.9%
860Z200US10014,ZCTA5 10014,"29,772"," $ 167,254.00 ",66.6%,"17,682","1,322",962,"1,730","7,757"," $ 1,294,200.00 ",71.4%,17682,5052,1263000.00%,77.8%
860Z200US10016,ZCTA5 10016,"54,297"," $ 153,065.00 ",65.9%,"30,164","2,655","1,935","2,941","12,347"," $ 928,400.00 ",72.3%,30164,8345,2181900.00%,70.3%
